"Record ID","Temperature","Turbidity (cm)","Dissolved Oxygen (mg L-1)","Biochemical Oxygen Demand (mg L-1)","Carbon Dioxide (mg L-1)","pH","Total Alkalinity (mg L-1 as CaCO3)","Total Hardness (mg L-1 as CaCO3)","Calcium (mg L-1)","Estimated Magnesium (mg L-1)","Ammonia (mg L-1)","Nitrite (mg L-1)","Phosphorus (mg L-1)","Hydrogen Sulphide (mg L-1)","Plankton Abundance (No. L-1)","Water Quality Index (WQI)","WQI-Derived Quality Label","WQI-Derived Quality Category","WQI-Derived Aquaculture Suitability Classification","WQI-Derived Aquaculture Suitability Description"
"1","31.200","13.535","0.222","6.393","8.077","6.703","240.671","645.052","152.765","64.011","0.929","0.094","0.200","0.040","2190","54.10","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"2","31.066","42.971","3.475","7.121","9.950","6.457","281.103","710.607","164.371","72.893","0.644","0.072","0.200","0.027","558","74.81","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"3","31.090","41.791","3.764","7.541","3.201","8.220","242.452","601.083","140.578","60.724","1.963","0.099","0.200","0.040","2001","69.90","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"4","15.241","10.005","3.339","6.615","9.187","6.714","275.743","132.707","8.577","27.025","1.828","0.086","0.391","0.028","804","69.16","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"5","31.077","10.726","0.556","7.654","3.121","8.252","265.220","524.329","116.310","56.800","1.703","0.097","0.432","0.038","718","48.57","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"6","15.469","13.657","3.843","7.523","2.788","8.385","285.332","569.240","125.417","62.184","1.508","0.085","0.200","0.041","2257","72.21","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"7","31.350","11.530","4.447","6.963","3.090","8.264","256.554","538.603","121.498","57.121","0.757","0.098","0.487","0.050","2234","81.34","2","Good/Marginal","Suitable","Standard Suitability: Water is generally safe but minor optimization might be required."
"8","31.839","43.882","0.369","7.044","9.260","6.220","297.172","599.664","131.858","65.666","1.206","0.080","0.200","0.029","600","49.98","4","Very Poor/Unsuitable","Unsuitable / Critical","Critical Risk: Water is heavily contaminated, unsafe for sensitive uses, and poses acute mortality risks."
"9","31.855","14.024","0.802","6.391","10.000","6.007","259.990","536.364","120.367","57.263","0.579","0.075","0.394","0.039","2881","55.05","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"10","15.151","13.698","2.664","7.951","8.115","6.000","278.006","574.852","128.053","61.948","1.479","0.096","0.201","0.030","712","61.78","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
"11","17.272","42.278","0.739","6.255","2.661","8.435","231.301","103.866","7.531","20.656","1.503","0.084","0.442","0.027","739","51.43","3","Poor/Marginal","Restricted / Stressed","Reduced Suitability: Water is significantly impaired or polluted; requires filtration or aeration."
